domain,hostname,ip,TLSRedirect,redirectType,TLSSiteExist,serialNumber,notValidBefore,notValidAfter,signatureHashAlgorithm,statusCode,statusMessage,issuerCommonName,Server,X-Powered-By,asn,asnCountryCode,isp,formFields,siteTitle,shodan_ports,shodan_last_update,html_size
spr,pengundi.spr.gov.my,103.8.163.104,True,meta-tag,True,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Page Redirection,80|443|,2018-03-15T20:21:17.223639,617
1govnet,1govserv.1govnet.gov.my,203.12.220.140,True,HTTP Status Code,True,29674122057683722225586492364,2017-04-25 08:16:11,2019-04-26 08:16:11,sha256,1,Pass,AlphaSSL CA - SHA256 - G2,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|icno|katalaluan|submit_login,1GovServ,,,2409
1malaysia,1malaysia.com.my,13.250.78.109,False,None,False,,,,,,,,nginx/1.4.6 (Ubuntu),PHP/5.5.9-1ubuntu4.22,AS38895,JP,AMAZON-AS-AP Amazon.com Tech Telecom,|submitted[name]|submitted[email]|details[sid]|details[page_num]|details[page_count]|details[finished]|form_build_id|form_id|search_block_form|form_build_id|form_id,1Malaysia,80|,2018-03-27T20:20:23.380292,126982
kpkt,1myc.kpkt.gov.my,103.8.145.205,False,None,False,,,,,,,,nginx/1.10.3 (Ubuntu),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,1MYC,80|,2018-04-02T07:45:15.359201,94173
treasury,1pp.treasury.gov.my,103.8.144.196,False,None,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Portal 1PP,80|,2018-03-14T06:28:31.067603,243464
akmal,2u.akmal.gov.my,43.252.232.178,False,None,False,,,,,,,,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|kp|pw|submit,AKMAL2U,80|,2018-03-27T16:38:25.136158,3374
jkr,3ps.jkr.gov.my,43.252.232.157,True,HTTP Status Code,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,PHP/5.5.38,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem 3Ps,80|443|,2018-04-02T09:52:05.247644,7280
rurallink,aardo19.rurallink.gov.my,150.242.181.32,True,HTTP Status Code,True,3881514861980723470563805829213680537,2017-08-01 00:00:00,2019-08-08 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache,PHP/5.6.32,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid,Home,80|443|,2018-03-22T01:06:23.275478,49169
met,abt.met.gov.my,175.28.14.115,False,None,False,,,,,,,,Apache/2.2.15 (CentOS),PHP/5.3.3,AS38044,MY,GITN-NETWORK GITN-NETWORK,|username|pass,Aviation Briefing Terminal,80|,2018-03-15T03:50:22.399195,4573
accreditation,accreditation.gov.my,203.12.220.58,True,HTTP Status Code,True,204903264486297260479294487678726904487,2017-01-16 08:00:05,2019-01-16 08:30:04,sha256,1,Pass,Entrust Certification Authority - L1K,Apache/2.2.15 (CentOS),PHP/5.3.3,AS38044,MY,GITN-NETWORK GITN-NETWORK,,eAkreditasi - Login,443|80|,2018-04-02T10:34:10.932226,38311
acem,acem.com.my,64.90.42.252,False,None,True,50159747054,2015-08-11 18:24:23,2025-08-08 18:24:23,sha256,-1,Certificate & Hostname mismatch,sni.dreamhost.com,Apache,n/a,AS26347,US,"DREAMHOST-AS - New Dream Network, LLC",|username|passwd|remember|option|Submit|op2|lang|return|message,Association of Consulting Engineers Malaysia - Home,5222|25|587|80|22|443|5269|21|,2018-04-02T09:49:09.328557,35519
mod,admm.mod.gov.my,103.27.113.37,False,None,False,,,,,,,,n/a,n/a,AS132885,MY,CDSB-AS-AP CET DEVELOPMENT SDN BHD,|username|password|Submit|option|task|return|5b0c43e79594551175cd68c26d607415,ADMM MinDef,80|,2018-04-02T05:34:10.373679,42558
customs,aduan.customs.gov.my,103.8.160.205,False,None,False,,,,,,,,Apache/2.2.22 (Ubuntu),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|,amaran,443|80|,2018-04-02T04:47:13.761518,4590
jkr,aduan.jkr.gov.my,43.252.232.157,True,HTTP Status Code,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem Aduan JKR Malaysia,80|443|,2018-04-02T09:52:05.247644,5145
kpkt,aduan.kpkt.gov.my,203.217.179.36,True,HTTP Status Code,True,1465763785157600663970569707576092542,2015-12-03 00:00:00,2018-12-06 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|title|title|title|title|title|title|title|title|title|title,Sistem Aduan Bersepadu KPKT,80|443|,2018-03-31T02:55:36.862261,13375
kraftangan,aduan.kraftangan.gov.my,58.26.125.192,False,None,False,,,,,,,,Apache/2.4.3 (Win32) OpenSSL/1.0.1c PHP/5.4.7,PHP/5.4.7,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|userid|pswd|submit|aduan|btnSubmit|btnReset,Sistem e-Aduan ICT,80|443|,2018-03-31T06:36:13.892957,5762
mbsa,aduan.mbsa.gov.my,58.27.16.215,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",,eAduan Majlis Bandaraya Shah Alam :: Selamat Datang :: Welcome,8008|,2018-03-28T16:09:34.042170,16797
mpklang,aduan.mpklang.gov.my,58.26.76.137,False,None,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|j_username|j_password|blogin,Sistem Aduan Awam - Majlis Perbandaran Klang - Welcome,80|3306|,2018-03-25T02:00:36.055451,6393
perak,aduan.perak.gov.my,202.188.163.159,False,None,False,,,,,,,,Apache,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|id|nokp|Submit,SISTEM ADUAN NEGERI PERAK,80|25|,2018-03-19T15:55:07.739024,7148
sabah,aduan.sabah.gov.my,27.0.4.40,False,None,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,|ctl00$ContentPlaceHolder1$SelectLanguage1$RadioButtonList1|ctl00$ContentPlaceHolder1$SelectLanguage1$RadioButtonList1,Selamat Datang Ke Sistem Aduan,80|21|,2018-03-29T07:28:47.895603,7195
skmm,aduan.skmm.gov.my,103.222.236.33,True,HTTP Status Code,True,14455954037473065209031784005,2016-06-10 08:26:19,2018-07-15 23:59:59,sha256,1,Pass,GlobalSign Extended Validation CA - SHA256 - G2,n/a,ASP.NET,AS135551,MY,MCAMC-AS-AP Malaysian Communication and Multimedia Commission,,Welcome - Malaysian Communications And Multimedia Commission (MCMC) | Suruhanjaya Komunikasi dan Multimedia Malaysia (SKMM),,,36062
spa,aduan.spa.gov.my,202.75.5.44,False,None,False,,,,,,,,Apache,PHP/5.5.15,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,:: ePertanyaan v2 ::,80|,2018-03-24T08:09:54.162235,459
sprm,aduan.sprm.gov.my,150.242.181.69,True,HTTP Status Code,True,10361563873392722795164855120972782171,2017-02-20 00:00:00,2020-05-19 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,SPRM - Portal Pengurusan Aduan,,,5111
selangor,adu-jkr.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mdhs.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
selangor,adu-mdkl.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
selangor,adu-mdks.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mdsb.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mpkj.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
selangor,adu-mps.selangor.gov.my,175.138.65.174,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",,eAduan Majlis Perbandaran Selayang :: Selamat Datang :: Welcome,5985|,2018-03-05T18:28:23.223630,10286
penang,adun.penang.gov.my,210.187.66.196,False,None,False,,,,,,,,n/a,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|userid|password|key|value|red|carian_katakunci|key|btnNext,,80|,2018-03-26T06:05:00.403296,737422
agc,agcowa.agc.gov.my,103.8.163.197,False,None,True,14645581998543338787201346949,2016-06-08 07:21:33,2019-06-09 07:21:33,sha256,1,Pass,GlobalSign Organization Validation CA - SHA256 - G2,Microsoft-IIS/8.5,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,,443|80|,2018-03-30T10:51:09.396281,2954
agc,agc-wopac.agc.gov.my,203.217.177.215,False,None,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Home - Perpustakaan Abu Yusuf Yaqub Al-Khindi,80|8080|,2018-03-29T01:54:36.862949,197562
doa,agristraining.doa.gov.my,103.8.144.148,False,None,False,,,,,,,,Microsoft-IIS/7.0,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,IIS7,80|,2018-03-30T16:15:21.978245,689
mardi,agromedia.mardi.gov.my,58.26.125.242,False,None,False,,,,,,,,Apache,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",,,80|,2018-04-02T07:51:21.285030,92
moa,agrotrade.moa.gov.my,103.8.160.216,False,None,False,,,,,,,,Microsoft-IIS/8.0,"PHP/5.3.24, ASP.NET",AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|username|password|Submit,eAgroTrade,80|,2018-04-02T08:32:12.552287,3154
selangor,ahlimajlispbt.selangor.gov.my,210.187.101.122,False,None,True,1279081995418554433,2015-06-30 04:21:38,2018-06-30 04:21:38,sha256,1,Pass,Go Daddy Secure Certificate Authority - G2,Apache/2.4.10 (Win32) OpenSSL/1.0.1i PHP/5.5.19,PHP/5.5.19,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|userID|userPassword,Sistem Pengurusan Ahli Majlis Pihak Berkuasa Tempatan Negeri Selangor,,,8403
kln,aichr.kln.gov.my,203.12.220.162,False,None,False,,,,,,,,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|searchword|searchphrase|limit|ordering|view|option,AICHR - Malaysia,,,44651
mod,aims.mod.gov.my,103.27.113.21,False,None,False,,,,,,,,n/a,n/a,AS132885,MY,CDSB-AS-AP CET DEVELOPMENT SDN BHD,,AIMS,80|,2018-03-26T02:06:16.698108,10390
mod,aimsweb.mod.gov.my,103.27.113.24,False,None,False,,,,,,,,n/a,n/a,AS132885,MY,CDSB-AS-AP CET DEVELOPMENT SDN BHD,|searchword|searchphrase|limit|ordering|view|option|username|password|remember|Submit|option|task|return|0f6b1c46ecef287261ac1e420425bdd7,Laman Web Rasmi AIMS,80|,2018-04-01T01:45:02.219676,44540
mosti,ain.mosti.gov.my,202.75.5.73,False,None,False,,,,,,,,nginx/1.8.1,PHP/5.6.20,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Portal Anugerah Inovasi Negara,80|,2018-03-31T06:59:45.273809,9317
